,Made Donation in March 2007
659,0.90
276,0.10
263,0.09
303,0.30
83,0.10
500,0.60
530,0.39
244,0.00
249,0.00
728,0.00
129,0.72
534,0.10
317,0.10
401,0.09
696,0.80
192,0.22
176,0.00
571,0.60
139,0.50
423,0.30
563,0.97
56,0.56
528,0.60
101,0.09
467,0.00
382,0.20
466,0.56
294,0.00
512,0.10
659,0.90
389,0.20
487,0.40
701,0.15
419,0.10
536,0.00
240,0.00
508,0.00
515,0.00
283,0.13
650,0.09
65,0.45
228,0.50
741,0.10
297,0.30
464,0.00
63,0.15
231,0.29
28,0.15
248,0.00
357,0.00
300,0.30
726,0.70
680,0.20
520,0.90
254,0.00
582,0.42
143,0.00
98,1.00
1,0.10
221,0.20
352,0.09
64,0.10
138,0.40
745,0.60
64,0.10
688,0.10
623,0.00
289,0.20
174,0.60
690,0.09
105,0.40
427,0.05
48,0.02
14,0.09
657,0.00
301,0.10
455,0.10
579,0.10
722,0.00
98,1.00
491,0.02
303,0.30
466,0.56
65,0.45
300,0.30
9,0.05
622,0.22
323,0.10
289,0.20
568,0.20
290,0.09
156,0.60
464,0.00
426,0.05
306,0.00
4,0.40
12,0.10
187,0.40
406,0.00
96,0.39
509,0.15
733,0.00
548,0.10
478,0.50
501,0.10
127,0.37
199,0.10
299,0.72
162,0.09
235,0.05
23,0.00
473,0.09
487,0.40
683,1.00
303,0.30
309,0.00
569,0.07
34,0.70
686,0.40
84,0.00
733,0.00
537,0.50
181,0.00
453,0.20
67,0.40
161,0.10
307,0.00
703,0.00
181,0.00
246,0.09
316,0.30
278,0.22
346,0.10
545,0.09
419,0.10
694,0.39
622,0.22
663,0.00
262,0.70
461,0.20
373,0.40
233,0.09
466,0.56
207,0.00
263,0.09
16,0.07
513,0.10
449,0.40
429,0.00
701,0.15
632,0.00
529,0.37
245,0.10
344,0.30
353,0.15
241,0.30
633,0.00
624,0.15
726,0.70
189,0.22
138,0.40
402,0.00
511,0.30
590,0.20
334,0.30
447,0.10
119,0.56
389,0.20
644,0.09
423,0.30
131,0.07
405,0.02
82,0.09
643,0.50
156,0.60
617,0.00
574,0.50
272,0.20
613,0.00
545,0.09
685,0.00
570,0.20
537,0.50
691,0.00
85,0.30
483,0.09
455,0.10
93,0.22
744,0.15
33,0.09
321,0.50
523,0.60
426,0.05
196,0.47
301,0.10
103,0.00
224,0.00
454,0.15
585,0.00
154,0.10
